season_id,team_id_home,team_id_away,team_name_home,team_name_away,team_abbreviation_home,team_abbreviation_away,game_date,pts_home,pts_away,elo_h,elo_a,elo_h_ofg,elo_a_ofg,elo_h_dfg,elo_a_dfg,elo_h_ofg3,elo_a_ofg3,elo_h_dfg3,elo_a_dfg3
22014,1610612763,1610612740,Memphis Grizzlies,New Orleans Pelicans,MEM,NOP,2014-11-03,93.0,81.0,1520.1378312292347,1507.3659092669682,1509.71225631668,1499.7124944925013,1529.71225631668,1500.2714438801347,1470.8462177367066,1499.7124944925013,1470.8462177367066,1499.7124944925013
22014,1610612755,1610612745,Philadelphia 76ers,Houston Rockets,PHI,HOU,2014-11-03,93.0,104.0,1463.6366402271638,1537.7537524377594,1491.4199114200496,1529.43278790048,1470.8613298404443,1509.43278790048,1471.4199114200496,1528.859147547024,1471.4199114200496,1529.43278790048
22014,1610612751,1610612760,Brooklyn Nets,Oklahoma City Thunder,BKN,OKC,2014-11-03,116.0,85.0,1497.5112553194929,1492.0619997770596,1500.2712064588613,1509.9917251272818,1500.8449001422043,1490.56721209952,1519.1550998577957,1510.56721209952,1500.3042793327827,1471.140852452976
22014,1610612746,1610612762,Los Angeles Clippers,Utah Jazz,LAC,UTA,2014-11-03,107.0,101.0,1504.7721039598187,1497.3382264433544,1470.0485983360834,1490.838437642876,1488.9165192570515,1491.9521630001761,1489.4737010739507,1510.2633746582924,1527.7696681725379,1510.2633746582924
22014,1610612757,1610612739,Portland Trail Blazers,Cleveland Cavaliers,POR,CLE,2014-11-04,101.0,82.0,1497.4853454406973,1500.8852757028812,1490.0004600190753,1480.2955217453048,1510.00093226729,1480.2955217453048,1489.9840673603849,1480.2955217453048,1529.4094739715538,1499.7205382437342
22014,1610612761,1610612760,Toronto Raptors,Oklahoma City Thunder,TOR,OKC,2014-11-04,100.0,88.0,1512.5141975708623,1470.5531211344332,1470.8302566628336,1499.712019087376,1490.8421936916172,1480.8629414843217,1471.385725498092,1500.8143410507769,1471.385725498092,1461.9782775077683
22014,1610612740,1610612766,New Orleans Pelicans,Charlotte Hornets,NOP,CHA,2014-11-04,100.0,91.0,1496.2638350487696,1494.3932370344698,1490.0002313262457,1470.8627549611654,1491.1167962125005,1490.28774368332,1488.8835627338083,1489.744881405573,1488.8835627338083,1489.1698184185966
22014,1610612748,1610612745,Miami Heat,Houston Rockets,MIA,HOU,2014-11-04,91.0,108.0,1531.955422346023,1546.3752320293152,1508.6125868782822,1518.3430342049548,1508.0087327846184,1498.3271506589804,1528.040580818565,1517.220812540901,1528.040580818565,1537.7783897279398
22014,1610612754,1610612749,Indiana Pacers,Milwaukee Bucks,IND,MIL,2014-11-04,81.0,87.0,1491.7552959490856,1495.2588793599389,1509.71225631668,1508.2950918418035,1490.28774368332,1490.0,1529.1537822632934,1528.8829744718662,1529.1537822632934,1528.8829744718662
22014,1610612752,1610612764,New York Knicks,Washington Wizards,NYK,WAS,2014-11-04,83.0,98.0,1494.8606908694255,1507.9901713557258,1509.7127324054748,1491.1298968803512,1510.28774368332,1510.0,1510.2716558188856,1491.1170255281338,1490.846718805862,1491.1170255281338
